REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Tanga,Rural,32,Female,Divorced/separated,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,19,Male,Single/never married,Primary completed,Rental income, , ,FALSE,sometimes, ,Traditional healer,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,40,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,41,Female,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kagera,Rural,64,Male,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Rural,22,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,41,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,44,Male,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kagera,Rural,48,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,29,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Other,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Dodoma,Rural,49,Female,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,25,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,25,Female,Married/living together,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,46,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Rural,28,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Rural,54,Female,Single/never married,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,80,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Singida,Rural,28,Female,Married/living together,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mtwara,Rural,26,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,84,Male,Married/living together,Some primary,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mara,Rural,50,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,51,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,51,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,38,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always, ,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,74,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Insurance services e.g,Public health care facility,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mtwara,Rural,63,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,30,Male,Divorced/separated,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,49,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,often, ,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,42,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,58,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,often,Banks e.g,Other,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,35,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,often,Banks e.g,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,18,Female,Single/never married,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,TRUE,never,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,22,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Do not take treatment,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,59,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Other,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,33,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,33,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,76,Female,Widowed,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mtwara,Rural,58,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Informal moneylenders,Other,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Rural,30,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Informal moneylenders,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,28,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,38,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,36,Female,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kilimanjaro,Rural,26,Female,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,20,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Rural,34,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,22,Male,Single/never married,Secondary competed-O level,Salaries/wages from regular job,"Work for individual/household e.g. security guard, maid etc",Full-time throughout the year,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,73,Male,Married/living together,Secondary competed-O level,Pension, , ,FALSE,always,Banks e.g,Private health care facility /consult private doctor,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Pwani,Rural,26,Female,Married/living together,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,38,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,41,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,27,Female,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,34,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,37,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Rural,36,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,46,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,27,Female,Married/living together,Secondary competed-O level,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,rarely,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Tanga,Rural,62,Female,Widowed,Some primary,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,often,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,32,Female,Single/never married,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,18,Male,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,30,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,45,Male,Single/never married,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always, ,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,31,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,37,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,34,Female,Married/living together,Secondary competed-O level,Rental income, , ,TRUE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kigoma,Rural,41,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,46,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Other,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,41,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,67,Female,Single/never married,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,48,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,80,Female,Widowed,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,17,Female,Single/never married,Primary completed, , , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,21,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Rural,48,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Pharmacy,No,No,Don’t know, , , , , , , , , , , , , , , , , , , 
Mbeya,Rural,62,Female,Widowed,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mtwara,Rural,32,Male,Married/living together,University or higher education completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Bank agents e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,63,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,67,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,29,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,48,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Informal moneylenders,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,36,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,46,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,16,Female,Single/never married,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Kilimanjaro,Rural,56,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,31,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,62,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,sometimes,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,38,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,53,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,61,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,72,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,rarely,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mara,Rural,64,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Rural,50,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Informal moneylenders,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,53,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,rarely,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,25,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,38,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Banks e.g,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Katavi,Rural,70,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Informal unregistered business,Part-time/Seasonally/Occasionally,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Katavi,Rural,50,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Rural,32,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,34,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,55,Female,Single/never married,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,24,Female,Single/never married,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,76,Male,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,20,Female,Single/never married,Secondary competed-O level, , , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,42,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Kigoma,Rural,51,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,34,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Rural,61,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,40,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Rural,56,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often, ,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Rural,20,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,70,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,35,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kilimanjaro,Rural,58,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often, ,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,23,Male,Single/never married,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,39,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Rural,40,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
